epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,4677.53,1.04409,1.54421,1.36175,0.99019,0.87843,0.89239,0.74501,0.72551,0.56562,1.16721,2.68874e-06,2.68874e-06,2.68874e-06
81,4735.67,1.06737,1.53395,1.37004,0.98539,0.87653,0.89135,0.74402,0.72729,0.56625,1.16637,2.56072e-06,2.56072e-06,2.56072e-06
82,4793.91,1.06237,1.52889,1.35778,0.99005,0.87638,0.89235,0.7438,0.72317,0.5634,1.16493,2.4327e-06,2.4327e-06,2.4327e-06
83,4852.1,1.06459,1.53843,1.3699,0.98656,0.87845,0.89205,0.74629,0.72198,0.55653,1.16308,2.30468e-06,2.30468e-06,2.30468e-06
84,4910.4,1.07059,1.53657,1.37172,0.98642,0.877,0.8931,0.7461,0.72254,0.55884,1.16311,2.17666e-06,2.17666e-06,2.17666e-06
85,4968.6,1.05496,1.52987,1.3605,0.98673,0.87674,0.89153,0.74382,0.72038,0.55904,1.1625,2.04864e-06,2.04864e-06,2.04864e-06
86,5026.76,1.05328,1.53967,1.36076,0.98841,0.87571,0.89238,0.74469,0.7228,0.55887,1.16413,1.92062e-06,1.92062e-06,1.92062e-06
87,5085.01,1.07762,1.57082,1.40067,0.9915,0.87357,0.89156,0.74482,0.72252,0.56426,1.16408,1.7926e-06,1.7926e-06,1.7926e-06
88,5143.25,1.02933,1.49138,1.33794,0.9896,0.87516,0.89134,0.74617,0.72758,0.56046,1.16755,1.66458e-06,1.66458e-06,1.66458e-06
89,5201.4,1.0785,1.51242,1.38025,0.9886,0.87536,0.8922,0.74365,0.72086,0.55541,1.16225,1.53656e-06,1.53656e-06,1.53656e-06
90,5259.61,1.03814,1.49998,1.34951,0.98989,0.87564,0.89157,0.74522,0.72434,0.55611,1.16301,1.40854e-06,1.40854e-06,1.40854e-06
91,5318.98,0.93368,1.77673,1.34037,0.98401,0.8831,0.89142,0.73153,0.75313,0.65382,1.18204,1.28052e-06,1.28052e-06,1.28052e-06
92,5377.13,0.9356,1.76401,1.33902,0.9846,0.88148,0.88999,0.72868,0.75387,0.66219,1.18183,1.1525e-06,1.1525e-06,1.1525e-06
93,5435.27,0.94357,1.73321,1.33811,0.98563,0.88033,0.88944,0.73058,0.75281,0.64398,1.17925,1.02448e-06,1.02448e-06,1.02448e-06
94,5493.46,0.93266,1.72022,1.34302,0.98315,0.88104,0.89219,0.73041,0.75141,0.64017,1.1794,8.96461e-07,8.96461e-07,8.96461e-07
95,5551.61,0.92546,1.71218,1.31955,0.98273,0.88135,0.89138,0.73076,0.74943,0.6247,1.17776,7.68442e-07,7.68442e-07,7.68442e-07
96,5609.68,0.93772,1.70901,1.33832,0.98442,0.88274,0.8916,0.73142,0.74929,0.62159,1.17898,6.40422e-07,6.40422e-07,6.40422e-07
97,5667.75,0.91842,1.73846,1.33575,0.97864,0.88354,0.88946,0.73163,0.74902,0.61929,1.17851,5.12402e-07,5.12402e-07,5.12402e-07
98,5725.76,0.93565,1.71238,1.34023,0.98396,0.88177,0.89094,0.73092,0.74995,0.6213,1.17884,3.84383e-07,3.84383e-07,3.84383e-07
99,5783.85,0.93085,1.71123,1.32214,0.97556,0.88386,0.88824,0.72801,0.75402,0.62726,1.18107,2.56363e-07,2.56363e-07,2.56363e-07
100,5841.91,0.91927,1.69474,1.33295,0.97331,0.88333,0.89043,0.72974,0.75016,0.60852,1.1786,1.28343e-07,1.28343e-07,1.28343e-07
